"nature","section","section2","section3","comite"
"MCF","26","27","","\N"
"PR","27","","","\N"
"MCF","26","","","\N"
"PR","26","","","Membres internes :

Michel Broniatowski, Professeur des universités (président)
Gérard Biau, Professeur des universités
Gilles Pages, Professeur des universités
Mathieu Rosenbaum, Professeur des universités
Patrick Brezillon, Professeur des universités

Membres externes :

Michel Bera, Professeur des universités
Ghyslaine Gayraud, Professeur des universités
Anne Gegout-Petit, Professeur des universités
Armelle Guillou, Professeur des universités
Marc Hoffman, Professeur des universités
"
"PR","25","","","\N"
"MCF","25","","","Zoe Chatzidakis
Françoise Delon (présidente)
Arnaud Durand
Mirna Dzamonja
Amélie Gheerbrant
Gilles Godefroy
Charlotte Hardouin
Mathilde Herblot
Martin Hils
Olivier Le Gal
Amador Martin-Pizarro
Lionel Nguyen Van The
Georges Skandalis
Todor Tsankov
Boban Velickovic
Frank Wagner "
"MCF","26","","","\N"
"PR","25","","","Membres internes : F. Mangolte, L. Meersseman (président), G. Powell, V. Raymond, I. Reider, V. Roubtsov.

Membres externes : D. Calaque, D. Cerveau, F. Michel, A. Pichon, A. Sarti, C. Voisin"
"MCF","27","","","Béchet Frédéric 
Santocanale Luigi 
Vaxès Yann   
Bouyer Patricia 
Sébillot Pascale 
Zeitoun Marc   
Fratani Séverine 
Prévot Laurent 
Ramisch Carlos  
Candito  Marie 
Fredouille Corinne 
Serre Olivier                       
"
"MCF","27","","","\N"
"MCF","25","","","ENRIQUEZ Benjamin, IRMA
GUICHARD Olivier,IRMA
NOOT Rutger, IRMA
GRUSON Caroline, Univ. de Lorraine
HARARI David, Univ. Paris-Sud
WHITEHOUSE Sarah, Univ. Sheffield
BERLINGER-HEU Viktoria, IRMA
HUYGHE Christine, IRMA
MASSUYEAU Gwenael;l, IRMA
CHATAUR David,  Univ. Lille 1
PARENT Pierre, Univ. Bordeaux
ROZENSZTAJN Sandra, ENS Lyon"
"MCF","27","61","","\N"
"PR","26","","","Yves Achdou
Annie Millet
Marie-Claire Quenez
Huyên Pham
Mathieu Rosenbaum
Agnes Sulem
Denis Talay
Peter Tankov"
"PR","26","","","Extérieurs :

- Sylvie Benzoni-Gavage 
- Virginie Bonnaille-Noël 
- Céline Grandmont 
- Stéphane Descombes 
- Guy Barles 

Locaux :

- Marguerite Zani
- François James
- Jérôme Le Rousseau
- Luc Hillairet (Président)"
"PR","25","26","","\N"
"MCF","27","","","Leila Amgoud (IRIT, Toulouse)
Sophie Tison (CRIStAL, Lille)
Brigitte Vallée (GREYC, Caen)
Christel Vrain (LIFO, Orléans)
Sébastien Konieczny (CRIL, Lens) [Président]
Frédéric Koriche  (CRIL, Lens)
Christophe Lecoutre  (CRIL, Lens)
Pierre Marquis  (CRIL, Lens)
Iovka Boneva (CRIStAL, Lille)
Thi-Bich-Hanh Dao (LIFO, Orléans)
Sylvie Doutre (IRIT, Toulouse)
Charlotte Truchet (LINA, Nantes)
Fahima Cheikh  (CRIL, Lens)
Assef Chmeiss  (CRIL, Lens)
Tiago De Lima  (CRIL, Lens)
Yakoub Salhi  (CRIL, Lens)


"
"MCF","26","","","Maha Abboud Blanchard (PU)
Denis Butlen (PU)
Daniel Perrin (PU)
Brigitte Grugeon (PU)
Magali Hersant (PU)
Yves Matheron (PU)
Patrick Courilleau (MCF)
Jean Michel Gelis (MCF)
Carine Royer (MCF)
Chritine Mangiante (MCF)
Monique Charles Pezard (MCF)
Fabrice Vandebrouck (MCF)"
"MCF","26","27","","Université Paul Valéry- Montpellier 3
LAVERGNE Christian
BRINGAY Sandra
DURAND Sylvain
RICHOMME Gwéna ël
TROTTIER Catherine 

HUCHARD Marianne (Université de Montpellier)
GEY Servane (Université Paris Descartes)
MARIN Jean-Michel (Université de Montpellier)
ROSSI Fabrice (Université Paris 1)
VELCIN Julien (Université Lyon 2) "
"MCF","27","61","","\N"
"PR","25","","","\N"
"MCF","27","","","Paris-Sud :
M. Bogdan CAUTIS
M. Alain DENISE
M. Yacine BELLIK
M. Loïc PAULEVÉ
M. Joffroy BEAUQUIER
Mme Janna BURMAN
Mme Anne VILNAT (présidente)
Mme Sabine PERES

Extérieurs :
Mme Colette JOHNEN
M. Sylvain SENÉ
M. Swan DUBOIS
Mme Laurence PILARD
M. Eric SOPENA
M. Philippe GAMBETTE
M. Christophe CHALONS
Mme Haïfa ZARGAYOUNA"
"MCF","27","","","\N"
