"nature","section","section2","section3","comite"
"MCF","25","\N","\N","\N"
"MCF","27","","","Membres internes
- Guillaume Fertin (PR - président)
- Pierre Cointe (PR)
- Frédéric Benhamou (PR)
- Damien Eveillard (MCF)
- Thomas Ledoux (CR)
- Gerson Sunye (MCF)

Membres externes
- Luc Bougé (PR)
- Jean-Charles Fabre (PR)
- Maxime Crochemore (PR)
- Benoit Baudry (CR)
- Anne- Françoise Lemeur (MCF)
- Pierre Peterlongo (CR)"
"PR","26","","","P. Bertail (Univ. P10)
G. Biau (Univ. P6)
M. Briane (INSA Rennes)
C. Butucea (Univ. Marne La vallée)
F. Coquet (ENSAI)
O. Guillou (INSA Rennes, Représentant de la Direction)
L. Hervé (INSA Rennes)
J. Ledoux (INSA Rennes)
J.-M. Zakoian (Univ. Lille 3)"
"MCF","27","","","http://www.univ-lille3.fr/fr/drh/rejoignez-luniversite-de-lille-3/personnels-enseignants/recrutement-enseignant-chercheur/ "
"MCF","25","","","Membres internes à Paris Diderot - Paris 7 :

Avila, Artur, DR
Blanchet, Christian, PR
De Pauw, Thierry, PR
Hélein, Frédéric, PR (président)
Deserti, Julie, MCF
Dubois, Jérôme, MCF
Toubiana, Eric, MCF,

Membres externes :

Favre, Charles, DR
Pacard, Frank, PR
Popescu-Pampu, Patrick, PR
Crovisier, Sylvain, CR
Féjoz, Jacques, MCF
Mazet, Laurent, CR
Minerbe, Vincent, MCF "
"MCF","25","26","","Paris 13
Julien Barral (président)
Yueyun Hu
Emmanuel maudusse
Emmanuel Roy
Philippe Marchal
Maher Zerzeri

Extérieurs
Nalini Anantharaman
Bassam Fayad
Thierry Levy
Eva Löcherbach
Nathalie Eisenbaum
Gabriel Vigny"
"MCF","25","","","Membres Université de Picardie:
Serge Bouc
Jean-Luc Chabert
François Digne
Sabine Evrard
Karine Sorlin
Radu Stancu

Membres extérieurs:
Jacques Alev
Marc Cabanes
Eddy Godelle
Ivan Marin
Jean Michel
Luis Paris


"
"PR","26","","","Didier Auroux
Helene Barucq
Eric Bonnetier
Jean-Michel Loubes
Mihai Maris
Mohamed Masmoudi
Lionel Moisan
Xavier Pennec
Jean-Michel Roquejoffre
Jean-Claude Yakoubsohn
"
"PR","27","","","Locaux :
AL AGHA Khaldoun PR
DAGUE Philippe PR
MANOUSSAKIS Yannis PR
ROZOY Brigitte PR
SARFATI Alain PR
VILNAT Anne PR présidente

Externes : 
BARTH Dominique PR
CHESNEAUX Jean-Marie PR
DI COSMO Roberto PR
GIAVITTO Jean-Louis DR CNRS
MUNOZ Rémy DR INRIA
SENS Pierre PR"
"MCF","29","","","\N"
