"nature","section","section2","section3","comite"
"MCF","27","","","Externes
 Vanessa Vitse
 Isabelle Bloch
 Nicolas Passat
 Jean-François Remacle
 Quentin Mérigot
 Caroline Fontaine
 Su Ruan
Internes
 Bart Lamiroy Bart, président
 Monique Teillaud
 Patrick Henaff
 Samuel Hornus
 Jérémie Detrey

http://www.loria.fr/comites-de-selection-2016
"
"MCF","25","","","Locaux:
Sylvie Benzoni (PR, Université Claude Bernard Lyon 1, Présidente)
Itaï Ben Yaacov (PR, Université Claude Bernard Lyon 1)
Driss Essouabri (PR, Université Jean Monnet Saint-Étienne)
Kenji Iohara (PR, Université Claude Bernard Lyon 1)
Nicolas Ressayre (PR, Université Claude Bernard Lyon 1)

Isabelle Chalendar (MCF, Université Claude Bernard Lyon 1)
Eric Delaygue (MCF, Université Claude Bernard Lyon 1)
Sébastien Gauthier (MCF, Université Claude Bernard Lyon 1)
Julien Melleray (MCF, Université Claude Bernard Lyon 1)
Amaury Thuillier (MCF, Université Claude Bernard Lyon 1)

Extérieurs:
Charles Favre (DR CNRS, Polytechnique)
Hélène Gispert (PR, Université Paris Sud)
Sylvain Maillot (PR, Université de Montpellier) 
Sabine Rommevaux-Tani (DR CNRS, Université Paris Diderot)
Thomas Stoll (PR, Université de Lorraine) 

Cécile Armana (MCF Université de Franche-Comté) 
Roland Bacher (MCF, Université de Grenoble)
Charlotte Hardouin (MCF, Université de Toulouse)
Sylvie Monniaux (MCF, Université Aix - Marseille)
Irène Passeron (CR CNRS, Université Pierre et Marie Curie)
"
"MCF","27","","","Membres appartenant à l&#039;établissement :
Bouveyron Charles, Professeur CNU (26)
Gey Servane, Maître de Conférences CNU (26)
Khalil Carine, Maître de Conférences CNU (06)
Labiod Lazhar, Maître de Conférences CNU (27)
Nadif Mohamed, Professeur CNU (27)

Membres extérieurs à l&#039;établissement :
Bennani Younès, Professeur CNU (27)
Canu Stéphane Professeur CNU (61)
Cleuziou Guillaume, Maître de Conférences CNU (27)
Douzal Ahlame, Maître de Conférences CNU (27)
Grandvalet Yves, Directeur de Recherche CNRS (06)
Kuntz-Cosperec Pascale, Professeur CNU (27)
Niang Ndèye, Maître de Conférences CNU (26)"
"MCF","27","","","Externes
 Olivier Dameron
 Englebert Mephu Nguifo
 Maude Pupin
 Alain Rakotomamoniv
 Céline Rouverirol
 Michèle Sebag
 Julie Thompson
Internes
 François Charoy, président
 Suzanne Collin
 Adrien Coulet
 Marie-Dominique Devignes
 Fabien Lauer

http://www.loria.fr/comites-de-selection-2016"
"PR","27","","","Externes
 Jean Ponce
 Raphaelle Chaine
 Dominique Bechmann
 Béatrice Bérard
 Xavier Leroy
 Guillaume Hanrot
Internes
 Sylvain Contassot, président
 Horatiu Cristea
 Véronique Cortier
 Monique Teillaud
 Jean-Yves Marion

http://www.loria.fr/comites-de-selection-2016"
"PR","27","","","Namyst Raymond
Salvy Bruno
Tougne Laure
Eisenbeis Christine
Beal Marie-Pierre
Finkel Alain
Sedes Florence
Seinturier Lionel
Beaudoin-Lafon Michel
Colcombet Thomas
Doucet Anne
Desainte-Catherine Myriam


D&#039;après https://www.u-bordeaux.fr/content/download/42458/323452/version/1/file/Comit%C3%A9s%20s%C3%A9lection%20PR_publication%20internet.pdf"
"MCF","27","","","CASTEIGTS Arnaud
MAGONI Damien
COUNILH Marie-Christine
VIALARD Anne
JEANNOT Emmanuel
BOUVRY Pascal
BOUDAOUD Karima
LAWAL Julia
MARCHAL Loris
BLIN Lelia
GODARD Emmanuel
MEHAUT Jean-Francois
MILANI Alessia
MOSBAH Mohamed"
"MCF","25","26","","Membres locaux

Indira Chatterji (présidente)
Ann Lemahieu
Christine Malot
Emmanuel Militon
Olivier Pantz
Pierre Raphael

Membres extérieurs

Frédéric Bernicot (Nantes)
Patrick Cattiaux (Toulouse)
Maya De Buhan (Paris 5)
Moon Duchin (Tufts)
Camille Laurent (Paris 6)
Jean-Marc Schlenker (Luxembourg)"
"PR","25","","","Membres extérieurs :

BORICHEV Alexandre
LORAY Frank
DUVAL Julien
ROESCH Pascale 

Membres internes : 

IVASHKOVYTCH Serge
MAIDA Mylène
POPESCU-PAMPU Patrick
ZHANG Changgui"
"MCF","26","","","
Membres locaux

ALFARO Matthieu
CARLES Remi
GALLO  Clément
HILLAIRET Matthieu (president)


Membres extérieurs


BENABDALLAH Assia
DALIBARD Anne-LAure
HAMEL François
IVANOVICI Oana
MIOT Evelyne
ROUSSIER-MICHON Violaine"
"PR","27","","","AKKOUCHE Samir
JEAN-DAUBIAS Stéphanie
HASSAS Salima
SHARIAT Behzad
HACID Mohand-Said

HAHMANN Stefanie
ROUSSET Marie-Christine
DANIEL Marc
GALLINARI Patrick
GENTIL Christian


source: 
http://www.univ-lyon1.fr/medias/fichier/affichage-comites-de-selection-pu-2016_1456843244175-pdf"
"PR","26","","","\N"
"MCF","26","","","Elise Arnaud
Eric Blayo
Mark Chaplain
Astrid Decoene
Laurent Desbat
Marie Doumic
Nicolas Glade
Jean-Luc Gouzé
Karin John
Olivier Saut
Angelique Stephanou
Vitali Volpert"
"MCF","25","26","72","Thomas Barrier
Olivier Bruneau
Viviane Durand-Guerrier
Ghislaine Gueudet
Guillaume Jouve
Pascal Lefevre
Christine Mangiante
Marc Moyon
Cécile Ouvrier-Buffet
Christine Proust 
Rossana Tazzioli
Thomas de Vittori"
"MCF","27","","","Sonia Ben Dhia
Pascal Berthomé
Patrice Bonhomme
Luc Bouganim
Jérémy Briffaut
Geneviève Jomier
Jean-François Lalande
Benjamin Nguyen
Veronika Peralta
Marie-Laure Potet"
"MCF","26","","","Hermine Biermé (PR 26)
Alexandre Brouste (PR 26)
Fabienne Comte (PR 26)
Christian Farinetto (MCF 26)
Said Hamadène (PR 26)
Ahmed Kebaier (MCF 26)
Marina Kleptsyna (PR 26)
Frédérique Letué (MCF 26)
Anis Matoussi (PR 26)
Alexandre Popier (MCF 26)
Frédéric Proia (MCF 26)
Laurent Rouvière (MCF 26)"
"MCF","26","","","Dauxois Jean-Yves (président)
Dupuy Jean-François
Durot Cécile
Genuer Robin
Gerchinovitz Sébastien
Lacour Claire
Lagnoux Agnès
Laurent-Bonneau Béatrice
Le Pennec Erwan
Marin Jean-Michel
Maugis-Rabusseau Cathy
Réveillac Anthony"
"MCF","26","25","","Membres locaux

Erwann Aubry
Roland Diel
Stella Krell
Roland Masso
Stéphanie Nivoche
Marjolaine Puel (présidente)

Membres extérieurs

Frédéric Bernicot (Nantes)
Patrick Cattiaux (Toulouse)
Maya De Buhan (Paris 5)
Moon Duchin (Tufts)
Camille Laurent (Paris 6)
Jean-Marc Schlenker (Luxembourg)"
"MCF","26","","","
Membres locaux

DI PIETRO Daniele (Président)
KOOBUS Bruno
LLERAS Vanessa
MARCHE Fabien
MOHAMMADI Bijan


Membres extérieurs

BEAUGENDRE Heloise
BUFFA Annalisa
CHAINAIS-HILLAIRET Claire
KRELL Stella
MAURY Bertrand
RAPETTI Francesca
SEGUIN Nicolas


"
"MCF","26","","","Bazzoli Caroline
Besse Philippe
Coeurjolly Jean-Francois
Delattre Maud
Fougères Anne-Laure
Friguet Chloé
Gaudoin Olivier
Husson Francois
Lambert-Lacroix Sophie
Malick Jérôme
Samson Adeline
Viallon Vivian"
"MCF","26","","","PR - Schwer Sylviane (27)
PR - Roditi Eric (70, 26)
PR - Trouche Luc (26)
PR - Grugeon-Allys Brigitte (26)
MC - Haspekian Mariam (70)	
MC - Vivier Laurent (26)
MC - Horoks Julie (26)	
MC - Mounier Eric (26) - Président"
"MCF","26","","","\N"
"MCF","26","","","Université de Rouen
Pierre Calka 
Nicolas Grenier-Boley
Catherine Houdement
Bernadette Ngono 
Rabah Tahraoui
Richard Wittorski 


Thomas Barrier Université d&#039;Artois
Brigitte Grugeon Université Paris Est Créteil
Mariam Haspekian  Université Paris 5 
Cécile de Hosson Université Paris Diderot(P7) 
Fabien Emprin Université de Reims
Christine Mangiante Université d&#039;Artois








"
"MCF","27","","","\N"
"MCF","27","","","\N"
"MCF","27","","","\N"
"MCF","27","","","Externes
 Michel Habib
 Patrick Baillot
 Sophie Pinchinat
 Brigitte Grau
 Véronique Moriceau
 Sylvain Schmitz
 Cyril de Runz
Internes

 Isabelle Debled-Rennesson, présidente

 Michael Rusinowitch
 Nadia Bellalem
 Nicolas Grégory
 Bruno Guillaume"
"PR","26","70","","DE VRIES Erica - Universite&amp;#769; Grenoble Alpes
DURAND-GUERRIER - Viviane Universite&amp;#769; de Montpellier
MORGE ludovic - Universite&amp;#769; Blaise Pascal
ORANGE Christian - U. Libre de Bruxelles (de&amp;#769;tache&amp;#769; de U. Nantes) 
ROUX Sophie - École Normale Supe&amp;#769;rieure 
TCHOUNIKINE Pierre - Universite&amp;#769; Grenoble Alpes
TROUCHE Luc - École normale supe&amp;#769;rieur de Lyon "
"PR","27","","","Marie-Pierre Béal (PR UPEM)
Cyril Nicaud (PR UPEM)
Jean-Christophe Novelli (PR UPEM, Président)
Gilles Roussel (PR UPEM)
André-Luc Beylot (PR Toulouse)
Maryline Chetto (PR Nantes)
Francine Krief (PR Bordeaux)
Laurent George (PR ESIEE)
Annie Gravey (PR Télécom Bretagne, Rennes)"
"MCF","25","","","Aurélien Alvarez
Colette Anne
Gérard Besson
Sandrine Grellier
Michèle Grillot
Guillaume Havard
Luc Hillairet
Luc Robbiano
Pascale Roesch
Nicoletta Tchou
Martin Traizet
Michel Zinsmeister
"
"MCF","26","70","","MERCAT Christian, PU, 26, Université Lyon 1
OUVRIER-BUFFET Cécile, PU, 26, Université Reims (Présidente)
ASSUDE Teresa, PU, 70, Université Marseille
MATHERON Yves, PU, 26, ENS Lyon
REGNIER Jean-Claude, PU, 70, Université Lyon 2
CHARLES Frédéric, MCF, 70, Université Lyon 1
CHAACHOUA Hamid, MCF, 26, Université Grenoble
DELOUSTAL-JORRAND Virginie, MCF, 26, Université Lyon 1
GEORGET Jean-Philippe, MCF, 70, Université Caen
TRGALOVA Jana, MCF, 26, Université Lyon 1"
"MCF","25","","","Christian BONATTI
Hervé CARDOT
Laura CIOBANU
Louis FUNAR
Ludomir GAVRILOV
Vincent GUIRARDEL
Lucy MOSER-JAUSLIN
Jasmin RAISSY
Barbara SCHAPIRA
Johan TAFLIN
Gioia VAGO
Emmanuel WAGNER
"
"MCF","25","","","Membres Angevins :
Mattia Cafasso (MC)
Frédéric Mangolte (PR), Président 
Etienne Mann (PR)
Laurent Meersseman (PR)
Luc Menichi (MC)
Daniel Naie (MC)
Maïtena Oçafrain (MC)
Geoffrey Powell (DR)

Membres extérieurs :
Léa Blanc-Centi (MC Lille)
Ugo Bruzzo (PR Trieste)
Stéphane Druel (CR Grenoble)
Alessandra Frabetti (MC Lyon)
Stéphane Lamy (PR Toulouse)
Olivier Marchal (MC St Etienne)
Pol Vanhaecke (PR Poitiers)
Alexis Virelizier (PR Lille)"
"MCF","25","26","","Membres locaux

Pascal Auscher
Hugues Auvray
Frédéric Bourgeois (président)
Laurent Moonens
Hans Rugh
Michel Rumin

Membres extérieurs

Michel Bonnefont (Bordeaux)
Sophie Grivaux (Amiens)
Colin Guillarmou (ENS)
Juliette Leblond (INRIA)
Severine Rigot (Nice)
Barbara Schapira (Rennes)
"
"MCF","26","","","Membres locaux:

A. Barbara
A. Cabot
J.-B. Caillau
S. Fang
R. Ghezzi
S. Leurent

Membres exterieurs:

G. Carlier
J. Fadili
S. Guillaume
N. Pustelnik
D. Tonon
H. Zidani"
"PR","25","26","","Membres locaux

Christophe Breuil
François Charles
Sylvain Crovisier (président)
Nicolas Curien
Joël Merker
Frédéric Rousset
Filippo Santambrogio

Membres extérieurs

Anne-Marie Aubert (Jussieu)
Yann Brenier (Polytechnique)
Frédéric Campana (Nancy)
Catherine Donati-Martin (Versailles)
Pauline Godillon (Supelec)
Bertrand Remy (Polytechnique)
Stéphane Seuret (Créteil)"
"MCF","27","","","\N"
"MCF","25","","","Membres locaux

Christian Ausoni
Nicolas de Saxcé
Henry de Thélin (président)
Cédric Pépin
Anne Quéguiner-Mathieu
Emmanuel Schenck

Membres extérieurs

Ramla Abdellatif (Amiens)
Indira Chatterji (Nice)
Vincent Franjou (Nantes)
Hans-Werner Henn (Strasbourg)
Galina Perelman (Créteil)
Rachel Taillefer (Clermont-Ferrand)"
"MCF","26","70","","Xavier Buff
Denis Butlen
Bernard Calmettes
Marie-France Carnus
Gisèle Cirade
Lalina Coulange
Jean Gillibert
Caroline Ladage
Claire Margolinas
Fabrice Vandebrouck"
"MCF","27","26","","Fatma Bouali (Lille2)
Anne Viallefont (Univ Auvergne)
Sophie Lambert-lacroix (upmf-grenoble)
Samuel Vercraene (Insa-Lyon)
Julien Jacques (Lyon2)
Sabine Loudcher (Lyon2)
Yacine Ouzrout (Lyon2)
Antoine Rolland (Lyon2)
"
"MCF","25","","","LOCAUX

Ivan Babenko
Stephane Baseilhac
Moulay Benameur
Damien Calaque (président)
Philippe Castillon
Thomas Haettel

EXTERIEURS

Claire Debord
Alessandra Iozzi
Fanny Kassel
Ana Lecuona
Muriel Livernet
Sheila Sandon"
"PR","26","","","Membres Paris Descartes

Membres Extérieurs
"
"PR","26","","","N. Anatharaman (Strasbourg)

P. Le Calvez (UPMC)

C. Donati (UVSQ)

T. Duquesne (UPMC)

S. Gouezel (CNRS, Nates)

E. Kierlik (UPMC)

G. Pagès (UPMC)

S. Péché (UPD)

B. de Tilières (UPEC-Paris-Est)

L. Zambotti (UPMC)"
