"nature","section","section2","section3","comite"
"PR","26","","","CLAUTIAUX François PR Interne Université de Bordeaux / UMR 5251 IMB
COUDIERE Yves PR Interne Université de Bordeaux / UMR 5251 IMB (vice-président)
IOLLO Angelo PR Interne Université de Bordeaux / UMR 5251 IMB
TURPAULT Rodolphe PR Externe Bordeaux INP / UMR 5251 IMB
CROUSEILLES Nicolas DR INRIA Externe UMR 6625 Institut de Recherche en Mathématiques de Rennes
HUBERT Florence PR Externe Aix-Marseille Université / UMR 7373 Institut de Mathématiques de Marseille (Présidente)
RIBOT Magali PR Externe Université d’Orléans / UMR 7013 Institut Denis Poisson -  Orléans
SALMON Stéphanie PR Externe Université de Reims / UMR 9008  Laboratoire de Mathématiques de Reims "
"MCF","26","","","Gregory Vial (président)
Valérie Perrier (vice présidente)
Catherine Verdu
Christian Olagnon
Marco Picasso
Julie Delon
Emmanuel Maître
Yves Renard
Elie Bretin
Samuela Leoni-Aubin
Hélène Hivert
Adrien Petrov
Annabelle Colin
Vanessa Lleras
Pierre Weiss
Maya De Buhan"
"MCF","25","","","Membres extérieurs :

Catalin Badea 

Claire Debord

Anne Moreau

Yulia Kuznetsova

Mickael de la Salle

Michela Varagnolo

Membres locaux :

Frédéric Bayart

Éric Gaudron (Président)

Simon Riche (Vice-président)

Christoph Kriegler

Rachel Taillefer

Robert Yuncken"
"MCF","25","","","Membres locaux:

 - Adrien Brochier
 - Pierre-Henri Chaudouard
 - Olivier Debarre
 - Eric Vasserot (président)

Membres extérieurs:

 - Claire Amiot
 - Mauro Porta
 - Anne Moreau
 - Tuan Ngo Dac
 - Alessandra Sarti 
 - Michela Varagnolo



"
"MCF","25","26","","Membres internes : 

Christine Keribin (présidente)
Nicolas Burq
Camille Coron 
Samuel Lelièvre
Martin Puchol
Nicolas Thiéry

Membres externes : 

Delphine Blanke
Sara Brofferio
Sara Checcoli
Laurent Di Menza
Clément Foucard 
Benoit Kloeckner"
"MCF","25","","","Membres internes :

Olivier Schiffmann (président)
Elisabeth Bouscaren 
Christophe Breuil
Kestutis Cesnavicius
Kevin Destagnol
Benjamin Hennion

Membres externes : 

Alessandro Chiodo 
Sarah Cherotzke 
Enrica Floris 
Fu Lie 
Sophie Morel 
Sandra Rozenstajn




"
"MCF","25","26","","Francis Nier (président)
François Béguin (vice-président)

Yannick Bonthonneau
Pascal Boyer
Manon Défosseux
Hélène Eymard-Bontemps
Geoffroy Horel
Yueyun Hu
Lisette Jagger
Elise Janvrese
Muriel Livernet
Sihem Mesnager
Frédéric Rousset
Nicolas de Saxcé
"
"MCF","25","","","Francis Nier (président)
François Béguin (vice-président)

Yannick Bonthonneau
Pascal Boyer
Manon Défosseux
Hélène Eymard-Bontemps
Geoffroy Horel
Yueyun Hu
Lisette Jagger
Elise Janvrese
Muriel Livernet
Sihem Mesnager
Frédéric Rousset
Nicolas de Saxcé
"
"MCF","26","","","\N"
"MCF","26","","","Membres internes

- ALBERT Mélisande (INSA Toulouse)
- DAUXOIS Jean-Yves (INSA Toulouse)
- LAGNOUX Agnès (Université Toulouse 2 - Jean Jaurès)
- LAURENT-BONNEAU Béatrice (INSA Toulouse)
- NEUVIAL Pierre (CNRS)
- REVEILLAC Anthony (INSA Toulouse) : Président


Membres externes

- BOYER Claire (Sorbonne Université)
- BLANCHARD Gilles (Université Paris-Saclay)
- DE CASTRO Yohann (Ecole Centrale Lyon)
- GALLOPIN Mélina (Université Paris-Saclay)
- PANLOUP Fabien (Université d’Angers)
- ROCHE Angelina (Université Paris-Dauphine)"
