"nature","section","section2","section3","comite"
"MCF","26","","","Daniel Le Roux (Président)

Julie Delon 
Florian De Vuyst 
Francis Filbet 
Céline Grandmont 
Simon Masnou 
Damien Tromeur-Dervout 

Morgane Bergot 
Elie Bretin 
Sarah Delcourte 
Benjamin Graille 
Florence Hubert 
Olivier Saut 
Paul Vigneaux "
"MCF","27","","","Comité de sélection donné à l&#039;adresse : http://www.ens-lyon.fr/DI/?p=2493&amp;lang=fr

Anne Benoit
Pascal Bouvry (président)
Hubert Comon
Arnaud Durand
Guillaume Hanrot
Sylvain Joubaud
Florence Maraninchi
Antoine Miné
Lucas Nussbaum
Natacha Portier
Damien Stehlé
Laurent Théry"
"MCF","26","","","M. MOREL Jean-Michel
M.ABOU-KANDIL Hisham
Mme DESOLNEUX Agnès
Mme PICARONNY Claudine
Mlle DIGNE Julie
M. OUDRE Laurent
M. KOEPFLER Georges
Mme DIBOS Françoise
"
"MCF","26","","","Muriel Boulakia
Vincent Calvez
Frédérique Clément
Patrick Cormier
Jean-Pierre Françoise
Claire Geslin
Bertrand Maury
Marie Postel
"
"MCF","25","","","MEMBRES  INTERNES

ANTON Ramona
BERGERON Nicolas (Président)
BIQUARD Olivier
CHAROLLOIS Pierre
DAT Jean-Francois
GINOT Gregory
LERNER Nicolas
MORIER-GENOUD Sophie


MEMBRES  EXTERNES

AMINI Omid 
BALADI Viviane
DELORT Jean-Marc
GOMEZ Maria Paula
LENZHEN Anna
PANSU Pierre
ROESCH Pascale
SCHRAEN Benjamin


"
"MCF","26","","","\N"
"PR","25","26","","\N"
"MCF","26","","","CHAUMONT Loic
DELABAERE Eric (Pdt)
VOSTRIKOVA-JACOD Lioudmila
CAFASSO Mattia
GARBIT Rodolphe
LOUSTAU Sebastien
COQUET François
DALALYAN Arnak
GEGOUT-PETIT Anne
FROMONT Magalie
LAVANCIER Frederic
PAROISSIN Christian










"
"PR","25","26","","\N"
"MCF","26","","","Membres internes

MCF

CORNILLON Pierre-André
FROMONT RENOIR Magalie
MOM Alain

PR

BENASSENI Jacques
CORPETTI Thomas
DEHAY Dominique

Membres extérieurs

MCF

AILLIOT Pierre
LAVANCIER Frédéric
MALOT Christine

PR

DAUXOIS Jean-Yves
KLEPTSYNA Marina
LEDOUX James"
"MCF","26","","","  "
"MCF","26","","","\N"
"PR","27","","","Guy Melançon (VP)
Laurent Simon
Emmanuel Jeannot
Philippe Duchon
Angelo Iollo
Laure Tougne (P)
Dominque Gaiti
Anne Siegel
Gilles Bernot
Anne Doucet
Gilles Venturini
Alain Denise"
"MCF","26","","","Frédéric Lebon
Olivier Guès
Raphaèle Herbin
Stephané Lantéri 
Stéphane Pagano
Gérard Michaille
Florence Hubert
Mihai Garajeu
Guillemette Chapuisat
Mikael Barboteu
Catherine Le Poupon
Oana Iosifescu
"
"MCF","26","70","","\N"
"MCF","26","","","\N"
"MCF","27","","","Benoît Baudry
Olivier Beaumont
Sandrine Blazy
Bertrand Coüasnon
Mireille Ducassé
Raphaël Gillard
Valérie Gouranton
Guillaume Gravier
Loïc Hélouët
Ivan Leplumey
Sébastien Limet
Jean-Louis Pazat"
"MCF","26","","","Christophe Sabot (Président)
Elisabeth Mironescu
Fabio Toninelli

Guillaume Aubrun
Thibault Espinasse
Nadine Guillotin-Plantard

Giambatistta Giacomin
Grégory Miermont
Lorenzo Zambotti

Charles Bordenave
Jean-Christophe Mourrat
Raphaël Rossignol"
"MCF","26","","","\N"
"MCF","26","","","Membres intérieurs:

Jérémie Bettinelli (CR CNRS)
Olivier Garet (PR,faculté des sciences) (président)
Anne Gegout-Petit (PR,faculté des sciences)
Aline Kurtzmann (MCF, faculté des sciences)
Antoine Lejay (DR INRIA)
Aurélie Muller (MCF, ENSEM)

Membres extérieurs:

Marie Albenque (CR CNRS, école Polytechnique)
Olivier Cappé (DR CNRS, Telecom Paris)
Peggy Cénac (MCF, Dijon)
Tran Viet Chi (MCF, Lille)
David Dereudre (PR, Lille)
Anne Philippe (PR, Nantes)


Attention, ceci n&#039;est qu&#039;une proposition de comité de sélection.
Cette proposition devrait être adoptée lors du CA du 11 mars 2014."
"MCF","26","","","Rang A
Alain BRUGUIERES, PR UM2 I3M, Président
Alain BRONNER, PR UM2 LIRDEF
Viviane DURAND GUERRIER, PR UM2 I3M
Brigitte GRUGEON, PR Paris 7
Lalina COULANGE, PR Bordeaux
Carl WINSLOW, PR Copenhague

Rang B
Aurélie CHESNAIS, MCF UM2 LIRDEF
Thomas HAUSBERGER, MCF UM2 I3M
Nicolas SABY, MCF UM2 I3M
Denise GRENIER, MCF, Grenoble 1
Jana TRGALOVA, MCF Lyon 1
Jérôme GERMONI, MCF Lyon 1"
"MCF","27","","","\N"
"MCF","26","","","Bernd Beckermann (PR Lille, président),
Emmanuel Creusé (PR Lille),
Stephan De Bievre (PR Lille),
Nicolas Wicker (PR Lille),
Helène Barucq (DR Pau),
Christian Gout  (PR INSA Rouen)
Frederic Rousset (PR Rennes),
Massimiliano Gubinelli (PR Paris),

Chi Tran (MCF Lille, vice-president),
Ana Matos (MCF Lille),
Caterina Calgaro (MCF Lille),
Guillaume Dujardin (CR Lille),
Virginie Bonnaillie-Noël (CR Rennes),
Vanessa Lleras (MCF Montpellier),
Raphael Cote (CR Paris),
Ludovic Goudenège (CR Paris)."
"MCF","25","","","Extérieurs:                 
S. Boucksom 
D. Calaque      
P. Massot    
JF Mestre       
F. Paulin        
A. Rechtman 
S. Rigot          
F. Touzet 

Intérieurs
Y. Genzmer
P. Haissinsky (président)
C. Lecuire
E. Legendre
J. Milles
M. Perret
J. Tapia
P. Thomas "
"MCF","26","","","Bar-Hen	Avner
Broze	Laurence
Célisse	Alain
Dabo-Niang Sophie
Emily	Mathieu
Foncel	Jérôme
Guillou	Agathe
Guin	Ophélie
Lemdani	Mohamed
Preda 	Cristian
Sabbah 	Camille
Thilly	Emmanuel"
"PR","26","","","\N"
"MCF","27","","","Membres locaux

* Venceslas Biri
* Étienne Duris
* Xavier Goaoc
* Yukiko Kenmochi 
* Jean-Christophe Novelli (Président)
* Vincent Nozick

	
Membres extérieurs

* Vincent Boyer (Université Paris 8)
* Cédric Demonceaux (Université de Bourgogne)
* Céline Loscos (Université Reims)
* Jean Ponce (ENS Paris)
* Isabelle Sivignon (CNRS)
* Alain Trouvé (ENS Cachan)
"
"MCF","27","","","\N"
